inv_nr	year	round	#tokens	#gold_event_tokens	#predicted_event_tokens	gold_event_density	P-event	R-event	f1-event	lex_precision	lex_recall	lex_f1	P-none	R-none	f1-none	P-macro	R-macro	f1-macro
1160	1647	2	2602	186	72	7.148347425057648	0.7777777777777778	0.3010752688172043	0.4341085271317829	0.76	0.20430107526881722	0.3220338983050847	0.9486166007905138	0.9933774834437086	0.9704811969268095	0.8631971892841458	0.6472263761304564	0.7397712820416941
1066	1618	4	648	58	29	8.950617283950617	0.7931034482758621	0.39655172413793105	0.5287356321839081	0.8461538461538461	0.1896551724137931	0.30985915492957744	0.9434571890145396	0.9898305084745763	0.9660876757650951	0.8682803186452008	0.6931911163062536	0.7709192622753662
7673	1716	3_ESTA	611	45	52	7.3649754500818325	0.5192307692307693	0.6	0.5567010309278351	0.6875	0.24444444444444444	0.360655737704918	0.9677996422182469	0.9558303886925795	0.9617777777777777	0.743515205724508	0.7779151943462898	0.7603263031075067
11012	1736	3	3881	301	188	7.7557330584900805	0.5957446808510638	0.37209302325581395	0.45807770961145194	0.9035087719298246	0.34219269102990035	0.4963855421686747	0.9488220958570268	0.9787709497206704	0.9635638663550118	0.7722833883540453	0.6754319864882421	0.7206180333405227
9001	1720	2	3423	166	176	4.849547180835525	0.5397727272727273	0.572289156626506	0.5555555555555556	0.625	0.18072289156626506	0.2803738317757009	0.9781336618417	0.9751304881793061	0.9766297662976631	0.7589531945572137	0.7737098224029061	0.7662604693595987
3598	1781	3	3712	661	11	17.807112068965516	1.0	0.01664145234493192	0.03273809523809524	1.0	0.1649016641452345	0.2831168831168831	0.8243717914077276	1.0	0.9037322274881517	0.9121858957038638	0.5083207261724659	0.6528417252937493
1348	1679	3_ESTA	281	32	4	11.387900355871885	1.0	0.125	0.2222222222222222	0.75	0.28125	0.4090909090909091	0.8989169675090253	1.0	0.946768060836502	0.9494584837545126	0.5625	0.7064617221310252
1090	1626	2	3658	206	159	5.6314926189174415	0.5283018867924528	0.4077669902912621	0.4602739726027397	0.7164179104477612	0.23300970873786409	0.3516483516483516	0.9651328951128894	0.9782734646581692	0.9716587541360955	0.7467173909526711	0.6930202274747157	0.718867451282681
1430	1686	4	2088	184	123	8.812260536398467	0.6260162601626016	0.41847826086956524	0.501628664495114	0.875	0.15217391304347827	0.2592592592592593	0.9455470737913486	0.9758403361344538	0.9604548979064358	0.785781666976975	0.6971592985020095	0.7388223920949751
2665	1746	3_ESTA	242	21	9	8.677685950413224	0.8888888888888888	0.38095238095238093	0.5333333333333333	1.0	0.2857142857142857	0.4444444444444445	0.944206008583691	0.995475113122172	0.9691629955947136	0.9165474487362899	0.6882137470372764	0.7861363493752649
1439	1686	3_ESTA	389	49	18	12.596401028277635	0.7222222222222222	0.2653061224489796	0.3880597014925374	1.0	0.12244897959183673	0.2181818181818182	0.9029649595687331	0.9852941176470589	0.9423347398030941	0.8125935908954777	0.6253001200480193	0.7067488592098864
1595	1697	3	2750	182	94	6.618181818181817	0.7446808510638298	0.38461538461538464	0.5072463768115941	0.9508196721311475	0.31868131868131866	0.47736625514403286	0.9578313253012049	0.9906542056074766	0.9739663093415007	0.8512560881825173	0.6876347951114307	0.7607469927066078
2693	1747	3	439	26	14	5.922551252847381	0.7857142857142857	0.4230769230769231	0.55	0.625	0.19230769230769232	0.29411764705882354	0.9647058823529412	0.9927360774818402	0.9785202863961814	0.8752100840336134	0.7079065002793816	0.7827179801370401
3476	1777	2	2194	138	94	6.289881494986327	0.6382978723404256	0.43478260869565216	0.5172413793103449	0.9411764705882353	0.34782608695652173	0.5079365079365079	0.9628571428571429	0.9834630350194552	0.973051010587103	0.8005775075987842	0.7091228218575537	0.752080091959145
8596	1707	4	1523	160	128	10.505581089954038	0.765625	0.6125	0.6805555555555556	0.9655172413793104	0.175	0.29629629629629634	0.9555555555555556	0.9779897285399853	0.9666424945612763	0.8605902777777779	0.7952448642699927	0.8266281844907482
4071	1713	4	489	62	14	12.678936605316974	0.7857142857142857	0.1774193548387097	0.2894736842105263	0.7	0.11290322580645161	0.19444444444444445	0.8926315789473684	0.9929742388758782	0.9401330376940134	0.839172932330827	0.585196796857294	0.6895419102865307
